"ProductID","Category","Picture_Name","ProductName","ProductPrice","Stock"
"PROD005","อาหาร","bacon_fried_rice.jpg","ข้าวผัดเบคอน","110","47"
"PROD003","อาหาร","japanese_curry.jpg","แกงกะหรี่ญี่ปุ่น","140","28"
"PROD012","ของแมว","tuna_cat_snack.jpg","ขนมแมวเลียรสปลาโอ","25","110"
"PROD004","อาหาร","okonomiyaki.jpg","โอโคโนมิยากิ","130","22"
"PROD015","ของแมว","cheese_flavored_cat_treats.jpg","ขนมแมวรสชีส","40","60"
"PROD013","ของแมว","dried_chicken_chunks.jpg","ไก่อบแห้งหั่นชิ้น","35","68"
"PROD010","เครื่องดื่ม","iced_jasmine_tea.jpg","ชามะลิเย็น","50","63"
"PROD014","ของแมว","mashed_fish_for_kittens.jpg","ปลาต้มบดสำหรับแมวเด็ก","30","75"
"PROD006","เครื่องดื่ม","hot_latte.jpg","ลาเต้ร้อน","65","60"
"PROD009","เครื่องดื่ม","honey_lemon_soda.jpg","น้ำผึ้งมะนาวโซดา","70","48"
"PROD002","อาหาร","avocado_salad.jpg","สลัดผักอโวคาโด","95","36"
"PROD001","อาหาร","spaghetti_carbonara.jpg","สปาเกตตีคาโบนาร่า","150","40"
"PROD007","เครื่องดื่ม","iced_green_tea.jpg","ชาเขียวเย็น","55","72"
"PROD008","เครื่องดื่ม","cocoa_frappe.jpg","โกโก้ปั่น","75","54"
"PROD011","ของแมว","canned_tuna_for_cats.jpg","ทูน่ากระป๋องสำหรับแมว","45","52"